Ro	LaAcc
ac	acum
ajutor	adjūtōrem
alboare	albōrem
altar	altārium
apă	aquam
arbore	arborem
arc	arcum
argint	argentum
arici	ērīcium
aripă	alapam
arm	armum
armar	armārium
armă	arma
arsură	arsūram
asin	asinum
ață	aciam
aur	aurum
auriga	aurīgam
baieră	bajulum
berbec	berbēcem
biserică	basilicam
boare	boreān
boș	bursam
bour	būbalum
brățară	brachiāle
bucă	buccam
bun	bonum
bunătate	bonitātem
bute	buttem
cal	caballum
calce	calcem
cale	callem
canură	cannulam
capră	capram
carne	carnem
carpen	carpinum
casă	casam
caș	cāseum
călcâi	calcāneum
căldare	caldāriam
cămașă	camisiam
căpăstru	capistrum
căpețel	capitellum
căpistere	capistērium
cărare	carrāriam
cărbune	carbōnem
cătină	catēnam
cățea	catellam
cățel	catellum
câine	canem
cântec	canticum
cârpător	coopertōrium
ceapă	caepam
ceară	cēram
celar	cellārium
cep	cippum
cer	cerrum
cer	coelum
cerb	cervum
cerc	circum
cercel	circellum
cetate	cīvitātem
cheie	clāvem
cină	cēnam
cireașă	ceresiam
ciumă	cȳma
coadă	cōdam
coamă	comam
coapsă	coxam
coastă	costam
coi	cōleum
corb	corvum
corn	cornum
coș	cossum
cot	cubitum
crăpătură	crepātūram
creastă	cristam
cretă	crētam
cruce	crucem
cuc	cucum
cui	cuneum
culme	culmen
cumpăt	compitum
cunună	corōnam
cupru	cuprum
cur	cūlum
curcubetă	cucurbitam
curea	corrigiam
curs	cursum
cute	cōtem
cuvânt	conventum
cuviință	convenientiam
daună	damnum
deget	digitum
dinte	dentem
dor	dolum
dormitor	dormītōrium
dos	dossum
drac	dracōnem
fag	fāgum
falce	falcem
fapt	factum
farmec	pharmacum
fașă	fasciam
față	faciam
făină	farīnam
făptură	factūram
făt	fētum
fân	fēnum
fântână	fontānam
femeie	familiam
fereastră	fenestram
ferigă	filicem
fiară	feram
ficat	fīcātum
fier	ferrum
fierar	ferrārium
fior	febrim
fir	fīlum
fiu	fīlium
floare	flōrem
floc	floccum
foale	follem
foame	famem
foarfecă	forficem
foc	focum
frasin	frāxinum
frate	frātrem
frânghie	fimbriam
frâu	frēnum
freamăt	fremitum
frig	frīgus
frunte	frontem
frupt	frūctum
fugă	fugam
fum	fūmum
fum	fūmum
fumar	fūmārium
fund	fundum
funie	fūnem
funingine	fūlīginem
fur	fūrem
furcă	furcam
furnică	formīcam
furt	fūrtum
fus	fūsum
găină	gallīnam
găleată	gallētam
geamăt	gemitum
ger	gelū
gheață	glaciam
ghindă	glandem
ghindură	glandulam
ginere	generum
gingie	gingīvam
grangur	galgulum
grâu	grānum
grindină	grandinem
gros	grossum
gură	gruem
gust	gulam
gușă	gustum
iapă	geusiās
iarbă	equam
iască	herbam
ie	ēscam
iederă	haedum
ienupăr	hederam
iepure	jūniperum
im	leporem
in	līmum
inel	līnum
iță	animam
împărat	jūgerum
înger	inclīnātiōnem
întreg	angelum
înțelept	intellēctiōnem
jneapăn	intellēctum
joc	jūniperum
jude	jocum
judecată	jūdicem
jug	jūdicium
junc	jugum
juncă	juvencum
junincă	juvenem
jurământ	jūnīcem
lac	jūrāmentum
lacrimă	lacum
lapte	lacrimam
lard	lac
laur	latus
lăcustă	laurum
lăptucă	lacustam
lăuruscă	lactūcam
lână	lā̆brūscam
legământ	lānam
legătură	ligāmentum
lege	ligātūram
legumă	lēgem
lemn	legūmen
leșie	lignum
limbă	lixīvam
limbric	linguam
lin	lumbrīcum
lingoare	lentem
lingură	languōrem
linte	lingulam
linți	lentem
luceafăr	lentem
lumânare	Lūciferum
lună	lūmen
lung	lūnam
luptă	lupum
lut	lū̆ctam
mamă	lutum
mare	mammam
margine	marem
marmură	marginem
martor	marmor
marți	martyrem
mascur	mēnsam
maț	masculum
măcelar	matiam
mădular	macellārium
mănunchi	medullam
mărăcine	mēlum
măsură	māxillam
mătase	mēnsūram
mână	metaxam
mânecă	manum
mânie	manicam
mei	maniam
merinde	milium
mesteacăn	merendam
miază	agnellam
miercuri	agnellum
mierlă	mel
minte	mentiōnem
mistreț	mentem
moarte	molam
mormânt	mortem
mort	monumentum
mortar	mortuum
mortăciune	mortārium
muncel	mulierem
munte	monticellum
mur	montem
mură	mōrum
mursă	moram
must	muscam
mușchi	mustum
mut	mūsculum
nan	malvam
nap	nānum
nară	nāpum
nas	nārem
nat	nāsum
neg	nātum
negoț	naevum
negru	negōtium
nepot	nebulam
noapte	nepōtem
noaten	noctem
noră	nūbilum
nou	nurum
nucet	nucem
nuia	nucētum
număr	novellam
nume	numerum
nun	nōmen
nutreț	nonnum
oală	ovem
oară	ōllam
oaste	hospitem
ochi	hostem
om	oleum
orb	hominem
orz	hordeum
os	hordeum
osânză	ossum
ou	hospitium
pace	ōvum
pai	pācem
palmă	paleam
paltin	palmam
pană	platanum
parte	pinnam
pasăre	partem
pască	passerem
paște	pascha
păcat	pascha
păcuină	peccātum
păcură	pecorārium
pădure	pēduculum
păioară	pāgānum
pănură	pavīmentum
păr	paenulam
părâng	pilum
părângă	pānicum
părinte	quadrāgēsimam
păs	parentem
păsat	pēnsum
pășune	pāstūram
pătlagină	pāstiōnem
pătrunjel	plantāginem
păun	petroselīnum
pâine	pāvōnem
pântec	pānem
pecingine	panticem
pereche	petīginem
pescar	parietem
pește	piscārium
piatră	piscem
picior	petram
piedică	petiolum
piele	pedicam
piept	pellem
pieptăn	pectus
piersic	pectinem
piersică	persicum
pin	persicam
plăcintă	pīnum
plin	placentam
poamă	plumbum
poartă	porcam
policar	portam
porc	pōmum
porumb	porcum
porumbă	palumbum
prânz	praedam
preot	prandium
prier	pretium
prună	prūnum
pulbere	prūnam
pumn	pulverem
punte	pugnum
purcel	pontem
purice	porcellum
putință	pūlicem
putoare	potentiam
puț	pūtōrem
rază	puteum
răspuns	rēnunculum
rășină	respōnsum
râie	reum
râpă	arāneam
râs	rīpam
râu	rīsum
repede	rīvum
rinichi	rādīculam
roată	rēniculum
roib	rotam
roșie	rōstrum
rug	rōrem
rugăciune	rubum
runc	rogātiōnem
salbă	saccus
salvie	salicem
sare	salviam
sarică	salem
saț	fossātum
sălbatic	sagittam
săptămână	sānitātem
sân	septimānam
sânge	sinum
sânt	sanguinem
scară	sānctum
scaun	scālam
scândură	scamnum
scoarță	scandulam
scroafă	scorteam
scut	scrōfam
seară	scūtum
secară	seram
secăciune	sēcale
seceră	siccātiōnem
semn	secūrim
senin	signum
seu	sitim
soacră	sēbum
soare	socram
soartă	sōlem
soață	sortem
socru	sabūcum
solbă	socrum
sorb	sorōrem
soț	sorbum
spate	socium
spic	spatium
spinare	spīnum
staul	spūmam
strat	stēllam
strigă	strātum
strup	strigam
stupă	struppum
sudoare	stuppam
sul	sūdōrem
sunet	sūbulam
surcel	sonitum
șale	sellam
șarpe	sellam
șes	servum
șoarece	sessum
tată	sōricem
taur	tatam
teacă	taurum
teară	thēcam
tindeche	tempus
toartă	autumnum
tort	tortam
tot	tortum
trunchi	trifolium
tufă	trunculum
tun	tūfam
turmă	tonum
tuse	turmam
țară	tussim
țânțar	terram
ud	testam
ulm	ūber
umăr	ulmum
umbră	humerum
unchi	umbram
unghie	avunculum
unt	unguentum
untură	ūnctum
ureche	ūnctūram
urgie	ōriclam
urs	orgia
vacă	ursum
vad	vacca
vale	vadum
vară	vallem
vas	virgam
văduv	vāsum
văr	viduum
vânăt	vēnam
vânătă	venetum
vânătoare	venetum
vârtute	ventum
vâsc	virtūtem
vechi	viscum
venin	vīcīnum
verbină	venēnum
verde	verbēnam
vie	vestīmentum
vierme	vīneam
viers	vermem
vin	versum
vineri	vīnum
vintre	ventrem
violă	violam
viperă	vīperam
vipt	vīctum
vis	vīsum
vită	vītam
vițel	vitellum
voce	vōcem
vulpe	vulpem
vultur	vulturem
zeamă	zema
zeu	deum
